asset_type,frame_number,participant_id,practicing,block_num,trial_num,task_type,target_size,target_loc,distractor_size,distractor_loc
Prefix,1215362,8,0,1,1,GBYK,small,left,large,right
Prefix,1215363,8,0,1,1,GBYK,small,left,large,right
Prefix,1215364,8,0,1,1,GBYK,small,left,large,right
Prefix,1215365,8,0,1,1,GBYK,small,left,large,right
Prefix,1215366,8,0,1,1,GBYK,small,left,large,right
Prefix,1215367,8,0,1,1,GBYK,small,left,large,right
Prefix,1215368,8,0,1,1,GBYK,small,left,large,right
Prefix,1215369,8,0,1,1,GBYK,small,left,large,right
Prefix,1215370,8,0,1,1,GBYK,small,left,large,right
Prefix,1215371,8,0,1,1,GBYK,small,left,large,right
Prefix,1215372,8,0,1,1,GBYK,small,left,large,right
Prefix,1215373,8,0,1,1,GBYK,small,left,large,right
Prefix,1215374,8,0,1,1,GBYK,small,left,large,right
Prefix,1215375,8,0,1,1,GBYK,small,left,large,right
Prefix,1215376,8,0,1,1,GBYK,small,left,large,right
Prefix,1215377,8,0,1,1,GBYK,small,left,large,right
Prefix,1215378,8,0,1,1,GBYK,small,left,large,right
Prefix,1215379,8,0,1,1,GBYK,small,left,large,right
Prefix,1215380,8,0,1,1,GBYK,small,left,large,right
Prefix,1215381,8,0,1,1,GBYK,small,left,large,right
Prefix,1215382,8,0,1,1,GBYK,small,left,large,right
Prefix,1215383,8,0,1,1,GBYK,small,left,large,right
Prefix,1215384,8,0,1,1,GBYK,small,left,large,right
Prefix,1215385,8,0,1,1,GBYK,small,left,large,right
Prefix,1215386,8,0,1,1,GBYK,small,left,large,right
Prefix,1215387,8,0,1,1,GBYK,small,left,large,right
Prefix,1215388,8,0,1,1,GBYK,small,left,large,right
Prefix,1215389,8,0,1,1,GBYK,small,left,large,right
Prefix,1215390,8,0,1,1,GBYK,small,left,large,right
Prefix,1215391,8,0,1,1,GBYK,small,left,large,right
Prefix,1215392,8,0,1,1,GBYK,small,left,large,right
Prefix,1215393,8,0,1,1,GBYK,small,left,large,right
Prefix,1215394,8,0,1,1,GBYK,small,left,large,right
Prefix,1215395,8,0,1,1,GBYK,small,left,large,right
Prefix,1215396,8,0,1,1,GBYK,small,left,large,right
Prefix,1215397,8,0,1,1,GBYK,small,left,large,right
Prefix,1215398,8,0,1,1,GBYK,small,left,large,right
Prefix,1215399,8,0,1,1,GBYK,small,left,large,right
Prefix,1215400,8,0,1,1,GBYK,small,left,large,right
Prefix,1215401,8,0,1,1,GBYK,small,left,large,right
Prefix,1215402,8,0,1,1,GBYK,small,left,large,right
Prefix,1215403,8,0,1,1,GBYK,small,left,large,right
Prefix,1215404,8,0,1,1,GBYK,small,left,large,right
Prefix,1215405,8,0,1,1,GBYK,small,left,large,right
Prefix,1215406,8,0,1,1,GBYK,small,left,large,right
Prefix,1215407,8,0,1,1,GBYK,small,left,large,right
Prefix,1215408,8,0,1,1,GBYK,small,left,large,right
Prefix,1215409,8,0,1,1,GBYK,small,left,large,right
Prefix,1215410,8,0,1,1,GBYK,small,left,large,right
Prefix,1215411,8,0,1,1,GBYK,small,left,large,right
Prefix,1215412,8,0,1,1,GBYK,small,left,large,right
Prefix,1215413,8,0,1,1,GBYK,small,left,large,right
Prefix,1215414,8,0,1,1,GBYK,small,left,large,right
Prefix,1215415,8,0,1,1,GBYK,small,left,large,right
Prefix,1215416,8,0,1,1,GBYK,small,left,large,right
Prefix,1215417,8,0,1,1,GBYK,small,left,large,right
Prefix,1215418,8,0,1,1,GBYK,small,left,large,right
Prefix,1215419,8,0,1,1,GBYK,small,left,large,right
Prefix,1215420,8,0,1,1,GBYK,small,left,large,right
Prefix,1215421,8,0,1,1,GBYK,small,left,large,right
Prefix,1215422,8,0,1,1,GBYK,small,left,large,right
Prefix,1215423,8,0,1,1,GBYK,small,left,large,right
Prefix,1215424,8,0,1,1,GBYK,small,left,large,right
Prefix,1215425,8,0,1,1,GBYK,small,left,large,right
Prefix,1215426,8,0,1,1,GBYK,small,left,large,right
Prefix,1215427,8,0,1,1,GBYK,small,left,large,right
Prefix,1215428,8,0,1,1,GBYK,small,left,large,right
Prefix,1215429,8,0,1,1,GBYK,small,left,large,right
Prefix,1215430,8,0,1,1,GBYK,small,left,large,right
Prefix,1215431,8,0,1,1,GBYK,small,left,large,right
Prefix,1215432,8,0,1,1,GBYK,small,left,large,right
Prefix,1215433,8,0,1,1,GBYK,small,left,large,right
Prefix,1215434,8,0,1,1,GBYK,small,left,large,right
Prefix,1215435,8,0,1,1,GBYK,small,left,large,right
Prefix,1215436,8,0,1,1,GBYK,small,left,large,right
Prefix,1215437,8,0,1,1,GBYK,small,left,large,right
Prefix,1215438,8,0,1,1,GBYK,small,left,large,right
Prefix,1215439,8,0,1,1,GBYK,small,left,large,right
Prefix,1215440,8,0,1,1,GBYK,small,left,large,right
Prefix,1215441,8,0,1,1,GBYK,small,left,large,right
Prefix,1215442,8,0,1,1,GBYK,small,left,large,right
Prefix,1215443,8,0,1,1,GBYK,small,left,large,right
Prefix,1215444,8,0,1,1,GBYK,small,left,large,right
Prefix,1215445,8,0,1,1,GBYK,small,left,large,right
Prefix,1215446,8,0,1,1,GBYK,small,left,large,right
Prefix,1215447,8,0,1,1,GBYK,small,left,large,right
Prefix,1215448,8,0,1,1,GBYK,small,left,large,right
Prefix,1215449,8,0,1,1,GBYK,small,left,large,right
Prefix,1215450,8,0,1,1,GBYK,small,left,large,right
Prefix,1215451,8,0,1,1,GBYK,small,left,large,right
Prefix,1215452,8,0,1,1,GBYK,small,left,large,right
Prefix,1215453,8,0,1,1,GBYK,small,left,large,right
Prefix,1215454,8,0,1,1,GBYK,small,left,large,right
Prefix,1215455,8,0,1,1,GBYK,small,left,large,right
Prefix,1215456,8,0,1,1,GBYK,small,left,large,right
Prefix,1215457,8,0,1,1,GBYK,small,left,large,right
Prefix,1215458,8,0,1,1,GBYK,small,left,large,right
Prefix,1215459,8,0,1,1,GBYK,small,left,large,right
Prefix,1215460,8,0,1,1,GBYK,small,left,large,right
Prefix,1215461,8,0,1,1,GBYK,small,left,large,right
Prefix,1215462,8,0,1,1,GBYK,small,left,large,right
Prefix,1215463,8,0,1,1,GBYK,small,left,large,right
Prefix,1215464,8,0,1,1,GBYK,small,left,large,right
Prefix,1215465,8,0,1,1,GBYK,small,left,large,right
Prefix,1215466,8,0,1,1,GBYK,small,left,large,right
Prefix,1215467,8,0,1,1,GBYK,small,left,large,right
Prefix,1215468,8,0,1,1,GBYK,small,left,large,right
Prefix,1215469,8,0,1,1,GBYK,small,left,large,right
Prefix,1215470,8,0,1,1,GBYK,small,left,large,right
Prefix,1215471,8,0,1,1,GBYK,small,left,large,right
Prefix,1215472,8,0,1,1,GBYK,small,left,large,right
Prefix,1215473,8,0,1,1,GBYK,small,left,large,right
Prefix,1215474,8,0,1,1,GBYK,small,left,large,right
Prefix,1215475,8,0,1,1,GBYK,small,left,large,right
Prefix,1215476,8,0,1,1,GBYK,small,left,large,right
Prefix,1215477,8,0,1,1,GBYK,small,left,large,right
Prefix,1215478,8,0,1,1,GBYK,small,left,large,right
Prefix,1215479,8,0,1,1,GBYK,small,left,large,right
Prefix,1215480,8,0,1,1,GBYK,small,left,large,right
Prefix,1215481,8,0,1,1,GBYK,small,left,large,right
Prefix,1215482,8,0,1,1,GBYK,small,left,large,right
Prefix,1215483,8,0,1,1,GBYK,small,left,large,right
Prefix,1215484,8,0,1,1,GBYK,small,left,large,right
Prefix,1215485,8,0,1,1,GBYK,small,left,large,right
Prefix,1215486,8,0,1,1,GBYK,small,left,large,right
Prefix,1215487,8,0,1,1,GBYK,small,left,large,right
Prefix,1215488,8,0,1,1,GBYK,small,left,large,right
Prefix,1215489,8,0,1,1,GBYK,small,left,large,right
Prefix,1215490,8,0,1,1,GBYK,small,left,large,right
Prefix,1215491,8,0,1,1,GBYK,small,left,large,right
Prefix,1215492,8,0,1,1,GBYK,small,left,large,right
Prefix,1215493,8,0,1,1,GBYK,small,left,large,right
Prefix,1215494,8,0,1,1,GBYK,small,left,large,right
Prefix,1215495,8,0,1,1,GBYK,small,left,large,right
Prefix,1215496,8,0,1,1,GBYK,small,left,large,right
Prefix,1215497,8,0,1,1,GBYK,small,left,large,right
Prefix,1215498,8,0,1,1,GBYK,small,left,large,right
Prefix,1215499,8,0,1,1,GBYK,small,left,large,right
Prefix,1215500,8,0,1,1,GBYK,small,left,large,right
Prefix,1215501,8,0,1,1,GBYK,small,left,large,right
Prefix,1215502,8,0,1,1,GBYK,small,left,large,right
Prefix,1215503,8,0,1,1,GBYK,small,left,large,right
Prefix,1215504,8,0,1,1,GBYK,small,left,large,right
Prefix,1215505,8,0,1,1,GBYK,small,left,large,right
Prefix,1215506,8,0,1,1,GBYK,small,left,large,right
Prefix,1215507,8,0,1,1,GBYK,small,left,large,right
Prefix,1215508,8,0,1,1,GBYK,small,left,large,right
Prefix,1215509,8,0,1,1,GBYK,small,left,large,right
Prefix,1215510,8,0,1,1,GBYK,small,left,large,right
Prefix,1215511,8,0,1,1,GBYK,small,left,large,right
Prefix,1215512,8,0,1,1,GBYK,small,left,large,right
Prefix,1215513,8,0,1,1,GBYK,small,left,large,right
Prefix,1215514,8,0,1,1,GBYK,small,left,large,right
Prefix,1215515,8,0,1,1,GBYK,small,left,large,right
Prefix,1215516,8,0,1,1,GBYK,small,left,large,right
Prefix,1215517,8,0,1,1,GBYK,small,left,large,right
Prefix,1215518,8,0,1,1,GBYK,small,left,large,right
Prefix,1215519,8,0,1,1,GBYK,small,left,large,right
Prefix,1215520,8,0,1,1,GBYK,small,left,large,right
Prefix,1215521,8,0,1,1,GBYK,small,left,large,right
Prefix,1215522,8,0,1,1,GBYK,small,left,large,right
Prefix,1215523,8,0,1,1,GBYK,small,left,large,right
Prefix,1215524,8,0,1,1,GBYK,small,left,large,right
Prefix,1215525,8,0,1,1,GBYK,small,left,large,right
Prefix,1215526,8,0,1,1,GBYK,small,left,large,right
Prefix,1215527,8,0,1,1,GBYK,small,left,large,right
Prefix,1215528,8,0,1,1,GBYK,small,left,large,right
Prefix,1215529,8,0,1,1,GBYK,small,left,large,right
Prefix,1215530,8,0,1,1,GBYK,small,left,large,right
Prefix,1215531,8,0,1,1,GBYK,small,left,large,right
Prefix,1215532,8,0,1,1,GBYK,small,left,large,right
Prefix,1215533,8,0,1,1,GBYK,small,left,large,right
Prefix,1215534,8,0,1,1,GBYK,small,left,large,right
Prefix,1215535,8,0,1,1,GBYK,small,left,large,right
Prefix,1215536,8,0,1,1,GBYK,small,left,large,right
Prefix,1215537,8,0,1,1,GBYK,small,left,large,right
Prefix,1215538,8,0,1,1,GBYK,small,left,large,right
Prefix,1215539,8,0,1,1,GBYK,small,left,large,right
Prefix,1215540,8,0,1,1,GBYK,small,left,large,right
Prefix,1215541,8,0,1,1,GBYK,small,left,large,right
Prefix,1215542,8,0,1,1,GBYK,small,left,large,right
Prefix,1215543,8,0,1,1,GBYK,small,left,large,right
Prefix,1215544,8,0,1,1,GBYK,small,left,large,right
Prefix,1215545,8,0,1,1,GBYK,small,left,large,right
Prefix,1215546,8,0,1,1,GBYK,small,left,large,right
Prefix,1215547,8,0,1,1,GBYK,small,left,large,right
Prefix,1215548,8,0,1,1,GBYK,small,left,large,right
Prefix,1215549,8,0,1,1,GBYK,small,left,large,right
Prefix,1215550,8,0,1,1,GBYK,small,left,large,right
Prefix,1215551,8,0,1,1,GBYK,small,left,large,right
Prefix,1215552,8,0,1,1,GBYK,small,left,large,right
Prefix,1215553,8,0,1,1,GBYK,small,left,large,right
Prefix,1215554,8,0,1,1,GBYK,small,left,large,right
Prefix,1215555,8,0,1,1,GBYK,small,left,large,right
Prefix,1215556,8,0,1,1,GBYK,small,left,large,right
Prefix,1215557,8,0,1,1,GBYK,small,left,large,right
Prefix,1215558,8,0,1,1,GBYK,small,left,large,right
Prefix,1215559,8,0,1,1,GBYK,small,left,large,right
Prefix,1215560,8,0,1,1,GBYK,small,left,large,right
Prefix,1215561,8,0,1,1,GBYK,small,left,large,right
Prefix,1215562,8,0,1,1,GBYK,small,left,large,right
Prefix,1215563,8,0,1,1,GBYK,small,left,large,right
Prefix,1215564,8,0,1,1,GBYK,small,left,large,right
Prefix,1215565,8,0,1,1,GBYK,small,left,large,right
Prefix,1215566,8,0,1,1,GBYK,small,left,large,right
Prefix,1215567,8,0,1,1,GBYK,small,left,large,right
Prefix,1215568,8,0,1,1,GBYK,small,left,large,right
Prefix,1215569,8,0,1,1,GBYK,small,left,large,right
Prefix,1215570,8,0,1,1,GBYK,small,left,large,right
Prefix,1215571,8,0,1,1,GBYK,small,left,large,right
Prefix,1215572,8,0,1,1,GBYK,small,left,large,right
Prefix,1215573,8,0,1,1,GBYK,small,left,large,right
Prefix,1215574,8,0,1,1,GBYK,small,left,large,right
Prefix,1215575,8,0,1,1,GBYK,small,left,large,right
Prefix,1215576,8,0,1,1,GBYK,small,left,large,right
Prefix,1215577,8,0,1,1,GBYK,small,left,large,right
Prefix,1215578,8,0,1,1,GBYK,small,left,large,right
Prefix,1215579,8,0,1,1,GBYK,small,left,large,right
